"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    Estimate","","12,787,209","6,253,250","6,533,959","711,460","731,353","781,825","837,945","865,761","1,635,951","1,518,192","1,800,577","941,792","828,254","1,153,807","655,263","325,029","40.7","10,087,031","9,540,331","2,606,848","2,134,099","10,087,031","4,872,663","5,214,368","2,134,099","918,006","1,216,093","","12,787,209","12,498,052","289,157","12,498,052","10,408,847","1,416,865","27,367","3,873","610","336","687","399,285","114,720","104,241","23,196","8,464","43,050","42,141","63,473","4,197","778","828","598","1,993","241,491","289,157","116,262","47,833","44,290","12,064","","12,787,209","10,661,042","1,580,003","107,010","461,541","14,191","278,661","","12,787,209","837,487","151,830","423,755","22,325","239,577","11,949,722","9,937,668","1,359,575","16,827","396,372","2,989","23,044","213,247","7,423","205,824","5,590,712"
"    Percent","","12,787,209","48.9%","51.1%","5.6%","5.7%","6.1%","6.6%","6.8%","12.8%","11.9%","14.1%","7.4%","6.5%","9.0%","5.1%","2.5%","(X)","78.9%","74.6%","20.4%","16.7%","10,087,031","48.3%","51.7%","2,134,099","43.0%","57.0%","","12,787,209","97.7%","2.3%","97.7%","81.4%","11.1%","0.2%","0.0%","0.0%","0.0%","0.0%","3.1%","0.9%","0.8%","0.2%","0.1%","0.3%","0.3%","0.5%","0.0%","0.0%","0.0%","0.0%","0.0%","1.9%","2.3%","0.9%","0.4%","0.3%","0.1%","","12,787,209","83.4%","12.4%","0.8%","3.6%","0.1%","2.2%","","12,787,209","6.5%","1.2%","3.3%","0.2%","1.9%","93.5%","77.7%","10.6%","0.1%","3.1%","0.0%","0.2%","1.7%","0.1%","1.6%","(X)"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,055,173","511,650","543,523","54,856","57,407","60,838","74,263","81,938","138,101","126,269","152,889","74,816","66,616","89,929","48,469","28,782","39.8","842,618","787,727","208,389","167,180","842,618","402,481","440,137","167,180","70,911","96,269","","1,055,173","1,027,838","27,335","1,027,838","858,236","70,600","5,579","N","N","N","N","35,676","4,379","8,948","2,799","901","2,394","2,892","13,363","385","N","N","N","N","57,362","27,335","7,260","2,818","4,716","2,197","","1,055,173","878,104","84,428","12,596","42,499","1,357","65,520","","1,055,173","148,096","11,850","37,876","1,793","96,577","907,077","781,398","58,095","4,386","34,934","385","6,084","21,795","4,329","17,466","462,630"
"    Percent","","1,055,173","48.5%","51.5%","5.2%","5.4%","5.8%","7.0%","7.8%","13.1%","12.0%","14.5%","7.1%","6.3%","8.5%","4.6%","2.7%","(X)","79.9%","74.7%","19.7%","15.8%","842,618","47.8%","52.2%","167,180","42.4%","57.6%","","1,055,173","97.4%","2.6%","97.4%","81.3%","6.7%","0.5%","N","N","N","N","3.4%","0.4%","0.8%","0.3%","0.1%","0.2%","0.3%","1.3%","0.0%","N","N","N","N","5.4%","2.6%","0.7%","0.3%","0.4%","0.2%","","1,055,173","83.2%","8.0%","1.2%","4.0%","0.1%","6.2%","","1,055,173","14.0%","1.1%","3.6%","0.2%","9.2%","86.0%","74.1%","5.5%","0.4%","3.3%","0.0%","0.6%","2.1%","0.4%","1.7%","(X)"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,832,482","2,351,359","2,481,123","286,928","311,585","304,834","320,585","347,621","618,537","603,149","646,733","322,327","308,600","468,965","210,958","81,660","38.8","3,748,798","3,534,904","943,183","761,583","3,748,798","1,798,027","1,950,771","761,583","337,368","424,215","","4,832,482","4,730,125","102,357","4,730,125","3,254,145","1,320,373","14,155","3,517","288","23","189","68,976","18,585","15,824","9,476","2,181","6,070","5,370","11,470","2,959","670","346","278","1,665","69,517","102,357","44,729","18,568","12,856","8,093","","4,832,482","3,342,896","1,381,957","46,364","87,746","5,979","77,767","","4,832,482","257,404","154,755","32,188","6,322","64,139","4,575,078","3,082,187","1,311,369","13,607","68,331","2,916","5,476","91,192","915","90,277","2,188,258"
"    Percent","","4,832,482","48.7%","51.3%","5.9%","6.4%","6.3%","6.6%","7.2%","12.8%","12.5%","13.4%","6.7%","6.4%","9.7%","4.4%","1.7%","(X)","77.6%","73.1%","19.5%","15.8%","3,748,798","48.0%","52.0%","761,583","44.3%","55.7%","","4,832,482","97.9%","2.1%","97.9%","67.3%","27.3%","0.3%","0.1%","0.0%","0.0%","0.0%","1.4%","0.4%","0.3%","0.2%","0.0%","0.1%","0.1%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","1.4%","2.1%","0.9%","0.4%","0.3%","0.2%","","4,832,482","69.2%","28.6%","1.0%","1.8%","0.1%","1.6%","","4,832,482","5.3%","3.2%","0.7%","0.1%","1.3%","94.7%","63.8%","27.1%","0.3%","1.4%","0.1%","0.1%","1.9%","0.0%","1.9%","(X)"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","853,175","427,381","425,794","60,355","57,994","59,062","58,831","61,445","111,603","97,015","106,294","58,872","52,350","68,944","39,522","20,888","36.6","642,282","605,161","160,387","129,354","642,282","319,592","322,690","129,354","58,617","70,737","","853,175","829,642","23,533","829,642","724,768","14,830","71,811","154","719","344","61,995","11,017","984","2,196","2,014","247","1,198","480","3,898","442","N","N","N","N","6,774","23,533","4,277","13,372","2,468","685","","853,175","747,070","20,603","86,570","14,278","1,056","8,059","","853,175","28,719","20,978","2,886","107","4,748","824,456","709,585","14,260","67,725","11,001","384","495","21,006","335","20,671","376,347"
"    Percent","","853,175","50.1%","49.9%","7.1%","6.8%","6.9%","6.9%","7.2%","13.1%","11.4%","12.5%","6.9%","6.1%","8.1%","4.6%","2.4%","(X)","75.3%","70.9%","18.8%","15.2%","642,282","49.8%","50.2%","129,354","45.3%","54.7%","","853,175","97.2%","2.8%","97.2%","84.9%","1.7%","8.4%","0.0%","0.1%","0.0%","7.3%","1.3%","0.1%","0.3%","0.2%","0.0%","0.1%","0.1%","0.5%","0.1%","N","N","N","N","0.8%","2.8%","0.5%","1.6%","0.3%","0.1%","","853,175","87.6%","2.4%","10.1%","1.7%","0.1%","0.9%","","853,175","3.4%","2.5%","0.3%","0.0%","0.6%","96.6%","83.2%","1.7%","7.9%","1.3%","0.0%","0.1%","2.5%","0.0%","2.4%","(X)"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,549,352","3,190,199","3,359,153","398,355","419,688","421,975","429,746","454,515","854,494","846,622","893,373","444,387","399,384","589,394","291,051","106,368","38.6","5,057,015","4,780,988","1,219,944","986,813","5,057,015","2,428,281","2,628,734","986,813","432,278","554,535","","6,549,352","6,411,887","137,465","6,411,887","5,084,404","1,105,318","17,139","5,413","282","140","814","102,508","21,483","17,239","13,531","5,782","8,248","12,511","23,714","3,409","813","1,533","867","196","99,109","137,465","48,961","36,811","19,337","3,538","","6,549,352","5,206,947","1,169,806","64,346","131,375","11,277","112,954","","6,549,352","322,339","200,705","26,947","12,352","82,335","6,227,013","4,881,929","1,098,287","14,900","101,866","3,036","6,263","120,732","2,323","118,409","2,869,419"
"    Percent","","6,549,352","48.7%","51.3%","6.1%","6.4%","6.4%","6.6%","6.9%","13.0%","12.9%","13.6%","6.8%","6.1%","9.0%","4.4%","1.6%","(X)","77.2%","73.0%","18.6%","15.1%","5,057,015","48.0%","52.0%","986,813","43.8%","56.2%","","6,549,352","97.9%","2.1%","97.9%","77.6%","16.9%","0.3%","0.1%","0.0%","0.0%","0.0%","1.6%","0.3%","0.3%","0.2%","0.1%","0.1%","0.2%","0.4%","0.1%","0.0%","0.0%","0.0%","0.0%","1.5%","2.1%","0.7%","0.6%","0.3%","0.1%","","6,549,352","79.5%","17.9%","1.0%","2.0%","0.2%","1.7%","","6,549,352","4.9%","3.1%","0.4%","0.2%","1.3%","95.1%","74.5%","16.8%","0.2%","1.6%","0.0%","0.1%","1.8%","0.0%","1.8%","(X)"
"Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","26,956,958","13,384,317","13,572,641","1,946,388","2,016,347","1,992,696","1,933,569","1,980,070","3,904,730","3,660,268","3,462,983","1,607,185","1,356,709","1,833,652","915,730","346,631","34.3","19,841,122","18,659,011","3,870,291","3,096,013","19,841,122","9,748,103","10,093,019","3,096,013","1,370,329","1,725,684","","26,956,958","26,293,245","663,713","26,293,245","20,265,860","3,234,898","121,708","15,449","1,129","4,215","2,284","1,161,951","326,595","191,445","125,855","18,466","74,634","234,045","190,911","20,055","5,954","4,096","2,034","7,971","1,488,773","663,713","167,000","138,850","122,369","23,219","","26,956,958","20,837,327","3,489,082","321,046","1,339,741","47,236","1,637,026","","26,956,958","10,408,238","9,032,310","177,448","70,160","1,128,320","16,548,720","11,708,178","3,150,560","62,460","1,151,731","17,270","34,121","424,400","20,217","404,183","10,426,760"
"    Percent","","26,956,958","49.7%","50.3%","7.2%","7.5%","7.4%","7.2%","7.3%","14.5%","13.6%","12.8%","6.0%","5.0%","6.8%","3.4%","1.3%","(X)","73.6%","69.2%","14.4%","11.5%","19,841,122","49.1%","50.9%","3,096,013","44.3%","55.7%","","26,956,958","97.5%","2.5%","97.5%","75.2%","12.0%","0.5%","0.1%","0.0%","0.0%","0.0%","4.3%","1.2%","0.7%","0.5%","0.1%","0.3%","0.9%","0.7%","0.1%","0.0%","0.0%","0.0%","0.0%","5.5%","2.5%","0.6%","0.5%","0.5%","0.1%","","26,956,958","77.3%","12.9%","1.2%","5.0%","0.2%","6.1%","","26,956,958","38.6%","33.5%","0.7%","0.3%","4.2%","61.4%","43.4%","11.7%","0.2%","4.3%","0.1%","0.1%","1.6%","0.1%","1.5%","(X)"
"Utah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,942,902","1,479,527","1,463,375","249,809","260,023","254,817","226,845","246,674","436,363","387,456","307,903","146,499","131,534","172,518","89,692","32,769","30.5","2,037,353","1,909,422","372,886","294,979","2,037,353","1,013,087","1,024,266","294,979","135,519","159,460","","2,942,902","2,864,407","78,495","2,864,407","2,568,018","33,520","32,874","952","205","18,235","105","66,060","7,711","14,655","6,856","5,402","4,230","10,803","16,403","25,425","1,477","354","9,502","14,092","138,510","78,495","11,585","14,498","20,153","1,074","","2,942,902","2,638,981","48,255","53,278","92,735","40,393","153,682","","2,942,902","397,100","296,516","6,880","2,404","91,300","2,545,802","2,330,356","31,816","30,223","64,918","24,808","5,396","58,285","806","57,479","1,022,593"
"    Percent","","2,942,902","50.3%","49.7%","8.5%","8.8%","8.7%","7.7%","8.4%","14.8%","13.2%","10.5%","5.0%","4.5%","5.9%","3.0%","1.1%","(X)","69.2%","64.9%","12.7%","10.0%","2,037,353","49.7%","50.3%","294,979","45.9%","54.1%","","2,942,902","97.3%","2.7%","97.3%","87.3%","1.1%","1.1%","0.0%","0.0%","0.6%","0.0%","2.2%","0.3%","0.5%","0.2%","0.2%","0.1%","0.4%","0.6%","0.9%","0.1%","0.0%","0.3%","0.5%","4.7%","2.7%","0.4%","0.5%","0.7%","0.0%","","2,942,902","89.7%","1.6%","1.8%","3.2%","1.4%","5.2%","","2,942,902","13.5%","10.1%","0.2%","0.1%","3.1%","86.5%","79.2%","1.1%","1.0%","2.2%","0.8%","0.2%","2.0%","0.0%","2.0%","(X)"
"Vermont","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","626,562","308,516","318,046","30,881","34,096","33,521","43,464","46,321","72,896","72,290","90,001","51,731","44,706","62,663","30,638","13,354","42.8","504,752","475,270","131,830","106,655","504,752","245,401","259,351","106,655","48,941","57,714","","626,562","613,700","12,862","613,700","591,853","6,164","2,513","N","N","N","N","9,933","2,947","1,858","697","368","674","471","2,918","365","N","N","N","N","2,872","12,862","2,119","6,160","2,239","88","","626,562","603,784","9,550","9,398","12,620","1,754","3,149","","626,562","10,775","3,130","3,412","676","3,557","615,787","584,101","5,899","2,342","9,933","365","1,351","11,796","78","11,718","325,774"
"    Percent","","626,562","49.2%","50.8%","4.9%","5.4%","5.3%","6.9%","7.4%","11.6%","11.5%","14.4%","8.3%","7.1%","10.0%","4.9%","2.1%","(X)","80.6%","75.9%","21.0%","17.0%","504,752","48.6%","51.4%","106,655","45.9%","54.1%","","626,562","97.9%","2.1%","97.9%","94.5%","1.0%","0.4%","N","N","N","N","1.6%","0.5%","0.3%","0.1%","0.1%","0.1%","0.1%","0.5%","0.1%","N","N","N","N","0.5%","2.1%","0.3%","1.0%","0.4%","0.0%","","626,562","96.4%","1.5%","1.5%","2.0%","0.3%","0.5%","","626,562","1.7%","0.5%","0.5%","0.1%","0.6%","98.3%","93.2%","0.9%","0.4%","1.6%","0.1%","0.2%","1.9%","0.0%","1.9%","(X)"
"Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","8,326,289","4,092,671","4,233,618","507,550","524,451","522,154","558,228","590,611","1,165,651","1,100,571","1,171,247","551,879","487,101","678,926","326,286","141,634","37.7","6,458,752","6,095,874","1,427,857","1,146,846","6,458,752","3,140,049","3,318,703","1,146,846","502,880","643,966","","8,326,289","8,052,660","273,629","8,052,660","5,739,681","1,601,449","21,233","5,188","175","84","586","510,871","132,938","70,844","72,077","13,024","68,465","60,202","93,321","4,553","769","987","2,290","507","174,873","273,629","87,908","30,265","74,427","12,972","","8,326,289","5,971,372","1,736,828","78,758","612,749","15,233","206,907","","8,326,289","731,971","160,772","92,319","21,399","457,481","7,594,318","5,242,578","1,572,488","17,392","507,648","4,336","20,639","229,237","7,506","221,731","3,446,585"
"    Percent","","8,326,289","49.2%","50.8%","6.1%","6.3%","6.3%","6.7%","7.1%","14.0%","13.2%","14.1%","6.6%","5.9%","8.2%","3.9%","1.7%","(X)","77.6%","73.2%","17.1%","13.8%","6,458,752","48.6%","51.4%","1,146,846","43.8%","56.2%","","8,326,289","96.7%","3.3%","96.7%","68.9%","19.2%","0.3%","0.1%","0.0%","0.0%","0.0%","6.1%","1.6%","0.9%","0.9%","0.2%","0.8%","0.7%","1.1%","0.1%","0.0%","0.0%","0.0%","0.0%","2.1%","3.3%","1.1%","0.4%","0.9%","0.2%","","8,326,289","71.7%","20.9%","0.9%","7.4%","0.2%","2.5%","","8,326,289","8.8%","1.9%","1.1%","0.3%","5.5%","91.2%","63.0%","18.9%","0.2%","6.1%","0.1%","0.2%","2.8%","0.1%","2.7%","(X)"
"Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","7,061,530","3,529,597","3,531,933","444,206","452,989","442,080","440,716","497,055","1,012,757","924,373","943,438","481,093","430,307","592,205","270,218","130,093","37.5","5,458,877","5,183,525","1,241,844","992,516","5,458,877","2,709,361","2,749,516","992,516","450,109","542,407","","7,061,530","6,678,557","382,973","6,678,557","5,484,997","251,336","95,613","4,569","2,023","992","3,011","554,101","90,086","113,226","92,800","35,252","64,742","75,216","82,779","45,359","7,102","9,120","13,736","15,401","247,151","382,973","79,836","80,688","106,199","7,998","","7,061,530","5,828,890","371,594","216,215","703,753","77,523","289,616","","7,061,530","858,778","692,492","35,588","7,297","123,401","6,202,752","4,960,822","242,656","80,907","550,240","43,761","9,989","314,377","5,791","308,586","2,963,293"
"    Percent","","7,061,530","50.0%","50.0%","6.3%","6.4%","6.3%","6.2%","7.0%","14.3%","13.1%","13.4%","6.8%","6.1%","8.4%","3.8%","1.8%","(X)","77.3%","73.4%","17.6%","14.1%","5,458,877","49.6%","50.4%","992,516","45.4%","54.6%","","7,061,530","94.6%","5.4%","94.6%","77.7%","3.6%","1.4%","0.1%","0.0%","0.0%","0.0%","7.8%","1.3%","1.6%","1.3%","0.5%","0.9%","1.1%","1.2%","0.6%","0.1%","0.1%","0.2%","0.2%","3.5%","5.4%","1.1%","1.1%","1.5%","0.1%","","7,061,530","82.5%","5.3%","3.1%","10.0%","1.1%","4.1%","","7,061,530","12.2%","9.8%","0.5%","0.1%","1.7%","87.8%","70.3%","3.4%","1.1%","7.8%","0.6%","0.1%","4.5%","0.1%","4.4%","(X)"
"West Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,850,326","914,686","935,640","102,552","106,275","109,144","113,474","122,531","219,419","227,673","250,979","138,488","130,736","190,573","99,669","38,813","41.9","1,467,126","1,390,545","406,461","329,055","1,467,126","717,964","749,162","329,055","147,184","181,871","","1,850,326","1,819,573","30,753","1,819,573","1,731,464","68,279","3,716","N","N","N","N","11,642","1,796","3,917","2,053","634","1,147","1,327","768","300","N","N","N","N","4,172","30,753","15,652","5,916","3,937","254","","1,850,326","1,760,520","86,018","11,057","17,283","1,244","6,701","","1,850,326","24,503","10,250","4,611","1,764","7,878","1,825,823","1,713,147","67,307","3,364","11,642","90","1,343","28,930","1,060","27,870","884,574"
"    Percent","","1,850,326","49.4%","50.6%","5.5%","5.7%","5.9%","6.1%","6.6%","11.9%","12.3%","13.6%","7.5%","7.1%","10.3%","5.4%","2.1%","(X)","79.3%","75.2%","22.0%","17.8%","1,467,126","48.9%","51.1%","329,055","44.7%","55.3%","","1,850,326","98.3%","1.7%","98.3%","93.6%","3.7%","0.2%","N","N","N","N","0.6%","0.1%","0.2%","0.1%","0.0%","0.1%","0.1%","0.0%","0.0%","N","N","N","N","0.2%","1.7%","0.8%","0.3%","0.2%","0.0%","","1,850,326","95.1%","4.6%","0.6%","0.9%","0.1%","0.4%","","1,850,326","1.3%","0.6%","0.2%","0.1%","0.4%","98.7%","92.6%","3.6%","0.2%","0.6%","0.0%","0.1%","1.6%","0.1%","1.5%","(X)"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,757,564","2,857,982","2,899,582","339,088","363,195","372,881","381,740","402,498","732,093","693,410","817,343","412,678","366,918","484,160","262,243","129,317","39.2","4,458,062","4,219,721","1,087,221","875,720","4,458,062","2,194,015","2,264,047","875,720","390,893","484,827","","5,757,564","5,638,190","119,374","5,638,190","4,966,282","363,916","50,703","760","15,971","374","157","150,258","27,694","21,961","9,101","2,934","6,767","6,681","75,120","1,384","761","330","133","160","105,647","119,374","39,201","31,447","19,563","3,975","","5,757,564","5,075,794","415,480","93,779","174,987","4,384","120,392","","5,757,564","370,982","269,007","59,124","3,777","39,074","5,386,582","4,731,591","357,934","46,200","149,258","1,197","2,751","97,651","2,062","95,589","2,648,342"
"    Percent","","5,757,564","49.6%","50.4%","5.9%","6.3%","6.5%","6.6%","7.0%","12.7%","12.0%","14.2%","7.2%","6.4%","8.4%","4.6%","2.2%","(X)","77.4%","73.3%","18.9%","15.2%","4,458,062","49.2%","50.8%","875,720","44.6%","55.4%","","5,757,564","97.9%","2.1%","97.9%","86.3%","6.3%","0.9%","0.0%","0.3%","0.0%","0.0%","2.6%","0.5%","0.4%","0.2%","0.1%","0.1%","0.1%","1.3%","0.0%","0.0%","0.0%","0.0%","0.0%","1.8%","2.1%","0.7%","0.5%","0.3%","0.1%","","5,757,564","88.2%","7.2%","1.6%","3.0%","0.1%","2.1%","","5,757,564","6.4%","4.7%","1.0%","0.1%","0.7%","93.6%","82.2%","6.2%","0.8%","2.6%","0.0%","0.0%","1.7%","0.0%","1.7%","(X)"
"Wyoming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","584,153","297,181","286,972","37,929","40,748","36,257","37,551","42,706","83,555","71,119","72,469","41,237","40,250","49,041","23,185","8,106","36.6","446,389","422,598","103,247","80,332","446,389","226,674","219,715","80,332","37,553","42,779","","584,153","571,259","12,894","571,259","531,680","6,320","15,073","0","281","1,041","580","5,541","149","1,418","2,159","331","756","113","615","837","N","N","N","N","11,808","12,894","1,797","6,284","1,099","0","","584,153","544,030","9,256","22,197","7,442","1,625","13,763","","584,153","57,065","44,593","1,590","299","10,583","527,088","490,892","5,912","13,331","5,515","837","149","10,452","248","10,204","268,205"
"    Percent","","584,153","50.9%","49.1%","6.5%","7.0%","6.2%","6.4%","7.3%","14.3%","12.2%","12.4%","7.1%","6.9%","8.4%","4.0%","1.4%","(X)","76.4%","72.3%","17.7%","13.8%","446,389","50.8%","49.2%","80,332","46.7%","53.3%","","584,153","97.8%","2.2%","97.8%","91.0%","1.1%","2.6%","0.0%","0.0%","0.2%","0.1%","0.9%","0.0%","0.2%","0.4%","0.1%","0.1%","0.0%","0.1%","0.1%","N","N","N","N","2.0%","2.2%","0.3%","1.1%","0.2%","0.0%","","584,153","93.1%","1.6%","3.8%","1.3%","0.3%","2.4%","","584,153","9.8%","7.6%","0.3%","0.1%","1.8%","90.2%","84.0%","1.0%","2.3%","0.9%","0.1%","0.0%","1.8%","0.0%","1.7%","(X)"
"Puerto Rico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,548,397","1,704,416","1,843,981","184,288","208,167","234,338","252,830","268,097","430,490","458,266","461,164","219,054","214,692","354,429","192,214","70,368","39.3","2,775,652","2,610,462","744,667","617,011","2,775,652","1,301,376","1,474,276","617,011","267,667","349,344","","3,548,397","3,321,584","226,813","3,321,584","2,520,447","299,398","10,710","N","N","N","N","8,810","N","N","N","N","N","N","N","495","N","N","N","N","481,724","226,813","174,895","9,718","527","1,493","","3,548,397","2,737,730","500,692","41,924","10,370","875","503,344","","3,548,397","3,514,279","13,925","3,404,122","15,043","81,189","34,118","23,709","3,388","0","2,691","118","1,702","2,510","0","2,510","1,571,275"
"    Percent","","3,548,397","48.0%","52.0%","5.2%","5.9%","6.6%","7.1%","7.6%","12.1%","12.9%","13.0%","6.2%","6.1%","10.0%","5.4%","2.0%","(X)","78.2%","73.6%","21.0%","17.4%","2,775,652","46.9%","53.1%","617,011","43.4%","56.6%","","3,548,397","93.6%","6.4%","93.6%","71.0%","8.4%","0.3%","N","N","N","N","0.2%","N","N","N","N","N","N","N","0.0%","N","N","N","N","13.6%","6.4%","4.9%","0.3%","0.0%","0.0%","","3,548,397","77.2%","14.1%","1.2%","0.3%","0.0%","14.2%","","3,548,397","99.0%","0.4%","95.9%","0.4%","2.3%","1.0%","0.7%","0.1%","0.0%","0.1%","0.0%","0.0%","0.1%","0.0%","0.1%","(X)"
