"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","RACE","RACE!!Total population","RACE!!One race","RACE!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!White","RACE!!Black or African American","RACE!!American Indian and Alaska Native","RACE!!Asian","RACE!!Native Hawaiian and Other Pacific Islander","RACE!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,050,292","506,835","543,457","56,147","56,113","65,263","76,095","84,403","128,901","129,835","157,782","73,262","63,666","81,849","48,995","27,981","39.8","833,330","776,965","195,249","158,825","833,330","395,951","437,379","158,825","66,241","92,584","","1,050,292","1,021,085","29,207","1,021,085","857,897","67,840","4,809","N","N","N","N","33,814","5,402","7,963","4,065","834","1,932","2,092","11,526","201","N","N","N","N","56,524","29,207","9,346","3,396","3,936","2,301","","1,050,292","880,518","84,888","13,461","39,044","1,637","63,236","","1,050,292","138,550","11,037","34,561","1,617","91,335","911,742","791,560","52,500","3,643","33,246","201","8,828","21,764","2,484","19,280","462,618"
"    Percent","","1,050,292","48.3%","51.7%","5.3%","5.3%","6.2%","7.2%","8.0%","12.3%","12.4%","15.0%","7.0%","6.1%","7.8%","4.7%","2.7%","(X)","79.3%","74.0%","18.6%","15.1%","833,330","47.5%","52.5%","158,825","41.7%","58.3%","","1,050,292","97.2%","2.8%","97.2%","81.7%","6.5%","0.5%","N","N","N","N","3.2%","0.5%","0.8%","0.4%","0.1%","0.2%","0.2%","1.1%","0.0%","N","N","N","N","5.4%","2.8%","0.9%","0.3%","0.4%","0.2%","","1,050,292","83.8%","8.1%","1.3%","3.7%","0.2%","6.0%","","1,050,292","13.2%","1.1%","3.3%","0.2%","8.7%","86.8%","75.4%","5.0%","0.3%","3.2%","0.0%","0.8%","2.1%","0.2%","1.8%","(X)"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,723,723","2,295,781","2,427,942","294,537","307,136","303,998","319,933","346,503","599,125","600,579","647,657","319,415","290,064","418,053","202,993","73,730","38.3","3,642,747","3,417,055","869,975","694,776","3,642,747","1,743,817","1,898,930","694,776","302,837","391,939","","4,723,723","4,628,988","94,735","4,628,988","3,165,844","1,307,087","15,317","2,803","84","331","190","59,956","13,735","8,918","9,824","2,806","3,944","8,519","12,210","1,738","635","643","188","272","79,046","94,735","39,077","15,071","11,448","4,900","","4,723,723","3,246,053","1,361,147","40,179","80,115","6,253","90,915","","4,723,723","249,762","134,481","32,498","11,221","71,562","4,473,961","3,016,843","1,295,205","14,189","59,145","1,738","5,952","80,889","3,105","77,784","2,156,768"
"    Percent","","4,723,723","48.6%","51.4%","6.2%","6.5%","6.4%","6.8%","7.3%","12.7%","12.7%","13.7%","6.8%","6.1%","8.9%","4.3%","1.6%","(X)","77.1%","72.3%","18.4%","14.7%","3,642,747","47.9%","52.1%","694,776","43.6%","56.4%","","4,723,723","98.0%","2.0%","98.0%","67.0%","27.7%","0.3%","0.1%","0.0%","0.0%","0.0%","1.3%","0.3%","0.2%","0.2%","0.1%","0.1%","0.2%","0.3%","0.0%","0.0%","0.0%","0.0%","0.0%","1.7%","2.0%","0.8%","0.3%","0.2%","0.1%","","4,723,723","68.7%","28.8%","0.9%","1.7%","0.1%","1.9%","","4,723,723","5.3%","2.8%","0.7%","0.2%","1.5%","94.7%","63.9%","27.4%","0.3%","1.3%","0.0%","0.1%","1.7%","0.1%","1.6%","(X)"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","833,354","417,803","415,551","58,683","58,764","53,892","59,542","58,181","110,630","93,882","111,139","58,391","49,158","61,623","39,397","20,072","36.7","629,132","590,222","148,409","121,092","629,132","313,492","315,640","121,092","54,096","66,996","","833,354","815,674","17,680","815,674","711,562","13,055","73,305","106","641","569","64,646","9,537","1,215","2,067","1,075","99","985","741","3,355","460","N","N","N","N","7,755","17,680","3,857","8,676","1,259","933","","833,354","728,083","18,182","83,595","11,253","1,136","9,424","","833,354","24,769","14,828","1,751","621","7,569","808,585","698,504","12,629","70,943","9,516","460","1,192","15,341","816","14,525","368,247"
"    Percent","","833,354","50.1%","49.9%","7.0%","7.1%","6.5%","7.1%","7.0%","13.3%","11.3%","13.3%","7.0%","5.9%","7.4%","4.7%","2.4%","(X)","75.5%","70.8%","17.8%","14.5%","629,132","49.8%","50.2%","121,092","44.7%","55.3%","","833,354","97.9%","2.1%","97.9%","85.4%","1.6%","8.8%","0.0%","0.1%","0.1%","7.8%","1.1%","0.1%","0.2%","0.1%","0.0%","0.1%","0.1%","0.4%","0.1%","N","N","N","N","0.9%","2.1%","0.5%","1.0%","0.2%","0.1%","","833,354","87.4%","2.2%","10.0%","1.4%","0.1%","1.1%","","833,354","3.0%","1.8%","0.2%","0.1%","0.9%","97.0%","83.8%","1.5%","8.5%","1.1%","0.1%","0.1%","1.8%","0.1%","1.7%","(X)"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,456,243","3,144,756","3,311,487","400,023","417,345","422,473","427,789","452,140","843,449","848,687","901,943","432,006","389,667","536,818","283,078","100,825","38.2","4,962,026","4,688,887","1,147,963","920,721","4,962,026","2,382,162","2,579,864","920,721","399,811","520,910","","6,456,243","6,337,879","118,364","6,337,879","5,036,564","1,091,759","17,594","4,271","455","551","446","96,086","25,736","15,642","6,619","4,886","12,197","11,806","19,200","2,618","1,277","776","311","254","93,258","118,364","40,795","32,598","18,456","3,033","","6,456,243","5,144,114","1,144,635","58,099","121,128","7,178","106,099","","6,456,243","307,758","203,320","24,878","9,906","69,654","6,148,485","4,840,886","1,084,643","12,460","95,459","2,149","6,115","106,773","4,266","102,507","2,834,808"
"    Percent","","6,456,243","48.7%","51.3%","6.2%","6.5%","6.5%","6.6%","7.0%","13.1%","13.1%","14.0%","6.7%","6.0%","8.3%","4.4%","1.6%","(X)","76.9%","72.6%","17.8%","14.3%","4,962,026","48.0%","52.0%","920,721","43.4%","56.6%","","6,456,243","98.2%","1.8%","98.2%","78.0%","16.9%","0.3%","0.1%","0.0%","0.0%","0.0%","1.5%","0.4%","0.2%","0.1%","0.1%","0.2%","0.2%","0.3%","0.0%","0.0%","0.0%","0.0%","0.0%","1.4%","1.8%","0.6%","0.5%","0.3%","0.0%","","6,456,243","79.7%","17.7%","0.9%","1.9%","0.1%","1.6%","","6,456,243","4.8%","3.1%","0.4%","0.2%","1.1%","95.2%","75.0%","16.8%","0.2%","1.5%","0.0%","0.1%","1.7%","0.1%","1.6%","(X)"
"Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","26,059,203","12,945,218","13,113,985","1,932,848","1,962,557","1,961,145","1,888,916","1,923,358","3,751,515","3,559,090","3,442,036","1,515,080","1,284,936","1,644,955","862,872","329,895","33.9","19,078,028","17,896,551","3,592,723","2,837,722","19,078,028","9,377,716","9,700,312","2,837,722","1,250,189","1,587,533","","26,059,203","25,444,780","614,423","25,444,780","19,546,170","3,099,425","126,041","15,311","744","3,032","1,925","1,052,002","282,901","172,102","112,415","21,159","80,336","226,503","156,586","21,938","5,856","7,121","2,965","5,996","1,599,204","614,423","141,972","134,420","101,819","22,523","","26,059,203","20,073,596","3,312,610","315,126","1,208,013","48,910","1,753,852","","26,059,203","9,960,910","8,735,199","142,759","59,125","1,023,827","16,098,293","11,554,528","3,015,396","61,331","1,037,052","18,488","31,949","379,549","19,730","359,819","10,154,835"
"    Percent","","26,059,203","49.7%","50.3%","7.4%","7.5%","7.5%","7.2%","7.4%","14.4%","13.7%","13.2%","5.8%","4.9%","6.3%","3.3%","1.3%","(X)","73.2%","68.7%","13.8%","10.9%","19,078,028","49.2%","50.8%","2,837,722","44.1%","55.9%","","26,059,203","97.6%","2.4%","97.6%","75.0%","11.9%","0.5%","0.1%","0.0%","0.0%","0.0%","4.0%","1.1%","0.7%","0.4%","0.1%","0.3%","0.9%","0.6%","0.1%","0.0%","0.0%","0.0%","0.0%","6.1%","2.4%","0.5%","0.5%","0.4%","0.1%","","26,059,203","77.0%","12.7%","1.2%","4.6%","0.2%","6.7%","","26,059,203","38.2%","33.5%","0.5%","0.2%","3.9%","61.8%","44.3%","11.6%","0.2%","4.0%","0.1%","0.1%","1.5%","0.1%","1.4%","(X)"
"Utah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,855,287","1,435,028","1,420,259","257,929","252,550","243,939","222,349","237,185","445,114","356,774","307,352","146,811","113,402","154,468","85,900","31,514","29.9","1,968,099","1,832,456","337,714","271,882","1,968,099","979,928","988,171","271,882","124,284","147,598","","2,855,287","2,785,688","69,599","2,785,688","2,514,908","31,797","31,448","830","86","16,544","586","62,575","8,166","11,949","6,271","7,294","6,772","7,542","14,581","25,765","2,985","393","6,867","15,520","119,195","69,599","10,790","14,644","16,015","356","","2,855,287","2,580,238","46,478","49,030","86,157","38,966","131,082","","2,855,287","379,433","275,504","7,132","2,931","93,866","2,475,854","2,278,904","27,856","25,822","61,740","25,284","3,273","52,975","1,641","51,334","996,777"
"    Percent","","2,855,287","50.3%","49.7%","9.0%","8.8%","8.5%","7.8%","8.3%","15.6%","12.5%","10.8%","5.1%","4.0%","5.4%","3.0%","1.1%","(X)","68.9%","64.2%","11.8%","9.5%","1,968,099","49.8%","50.2%","271,882","45.7%","54.3%","","2,855,287","97.6%","2.4%","97.6%","88.1%","1.1%","1.1%","0.0%","0.0%","0.6%","0.0%","2.2%","0.3%","0.4%","0.2%","0.3%","0.2%","0.3%","0.5%","0.9%","0.1%","0.0%","0.2%","0.5%","4.2%","2.4%","0.4%","0.5%","0.6%","0.0%","","2,855,287","90.4%","1.6%","1.7%","3.0%","1.4%","4.6%","","2,855,287","13.3%","9.6%","0.2%","0.1%","3.3%","86.7%","79.8%","1.0%","0.9%","2.2%","0.9%","0.1%","1.9%","0.1%","1.8%","(X)"
"Vermont","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","626,011","309,184","316,827","31,011","32,904","36,885","45,351","44,912","70,300","73,424","97,704","51,191","43,840","55,954","29,047","13,488","42.4","502,122","469,509","124,376","98,489","502,122","245,029","257,093","98,489","44,353","54,136","","626,011","613,411","12,600","613,411","595,252","6,411","2,165","N","N","N","N","8,234","664","1,881","714","334","1,008","782","2,851","0","N","N","N","N","1,349","12,600","2,858","5,130","2,382","177","","626,011","607,276","10,164","8,411","11,119","265","2,335","","626,011","9,827","2,596","2,416","408","4,407","616,184","588,138","6,188","1,910","8,217","0","301","11,430","238","11,192","324,052"
"    Percent","","626,011","49.4%","50.6%","5.0%","5.3%","5.9%","7.2%","7.2%","11.2%","11.7%","15.6%","8.2%","7.0%","8.9%","4.6%","2.2%","(X)","80.2%","75.0%","19.9%","15.7%","502,122","48.8%","51.2%","98,489","45.0%","55.0%","","626,011","98.0%","2.0%","98.0%","95.1%","1.0%","0.3%","N","N","N","N","1.3%","0.1%","0.3%","0.1%","0.1%","0.2%","0.1%","0.5%","0.0%","N","N","N","N","0.2%","2.0%","0.5%","0.8%","0.4%","0.0%","","626,011","97.0%","1.6%","1.3%","1.8%","0.0%","0.4%","","626,011","1.6%","0.4%","0.4%","0.1%","0.7%","98.4%","94.0%","1.0%","0.3%","1.3%","0.0%","0.0%","1.8%","0.0%","1.8%","(X)"
"Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","8,185,867","4,015,045","4,170,822","507,071","516,233","519,996","554,242","583,559","1,138,612","1,103,601","1,196,525","531,772","472,123","618,154","313,601","130,378","37.5","6,331,235","5,963,440","1,336,026","1,062,133","6,331,235","3,070,192","3,261,043","1,062,133","461,528","600,605","","8,185,867","7,922,174","263,693","7,922,174","5,661,067","1,576,258","23,022","4,338","240","543","235","469,669","108,853","64,277","76,037","9,170","68,145","56,455","86,732","5,008","1,175","1,536","103","2,194","187,150","263,693","76,768","33,337","65,934","12,596","","8,185,867","5,880,677","1,701,315","87,891","565,539","16,112","223,540","","8,185,867","687,972","174,985","91,328","15,044","406,615","7,497,895","5,234,502","1,549,541","15,968","466,958","5,008","12,497","213,421","8,162","205,259","3,398,389"
"    Percent","","8,185,867","49.0%","51.0%","6.2%","6.3%","6.4%","6.8%","7.1%","13.9%","13.5%","14.6%","6.5%","5.8%","7.6%","3.8%","1.6%","(X)","77.3%","72.9%","16.3%","13.0%","6,331,235","48.5%","51.5%","1,062,133","43.5%","56.5%","","8,185,867","96.8%","3.2%","96.8%","69.2%","19.3%","0.3%","0.1%","0.0%","0.0%","0.0%","5.7%","1.3%","0.8%","0.9%","0.1%","0.8%","0.7%","1.1%","0.1%","0.0%","0.0%","0.0%","0.0%","2.3%","3.2%","0.9%","0.4%","0.8%","0.2%","","8,185,867","71.8%","20.8%","1.1%","6.9%","0.2%","2.7%","","8,185,867","8.4%","2.1%","1.1%","0.2%","5.0%","91.6%","63.9%","18.9%","0.2%","5.7%","0.1%","0.2%","2.6%","0.1%","2.5%","(X)"
"Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,897,012","3,441,429","3,455,583","440,973","429,195","450,113","446,668","484,204","970,606","915,538","966,599","463,551","421,947","523,878","264,685","119,055","37.5","5,311,983","5,032,499","1,151,291","907,618","5,311,983","2,627,922","2,684,061","907,618","410,159","497,459","","6,897,012","6,552,550","344,462","6,552,550","5,402,912","248,631","95,015","4,503","2,880","1,004","3,420","509,565","68,248","107,099","97,582","39,170","57,338","71,511","68,617","41,156","5,544","8,411","15,977","11,224","255,271","344,462","56,532","79,783","95,997","8,166","","6,897,012","5,701,323","343,329","204,438","651,794","81,694","294,855","","6,897,012","807,596","647,527","30,428","6,730","122,911","6,089,416","4,927,042","239,399","84,746","504,801","38,963","8,885","285,580","5,850","279,730","2,914,775"
"    Percent","","6,897,012","49.9%","50.1%","6.4%","6.2%","6.5%","6.5%","7.0%","14.1%","13.3%","14.0%","6.7%","6.1%","7.6%","3.8%","1.7%","(X)","77.0%","73.0%","16.7%","13.2%","5,311,983","49.5%","50.5%","907,618","45.2%","54.8%","","6,897,012","95.0%","5.0%","95.0%","78.3%","3.6%","1.4%","0.1%","0.0%","0.0%","0.0%","7.4%","1.0%","1.6%","1.4%","0.6%","0.8%","1.0%","1.0%","0.6%","0.1%","0.1%","0.2%","0.2%","3.7%","5.0%","0.8%","1.2%","1.4%","0.1%","","6,897,012","82.7%","5.0%","3.0%","9.5%","1.2%","4.3%","","6,897,012","11.7%","9.4%","0.4%","0.1%","1.8%","88.3%","71.4%","3.5%","1.2%","7.3%","0.6%","0.1%","4.1%","0.1%","4.1%","(X)"
"West Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,855,413","911,681","943,732","105,263","105,721","108,817","111,971","127,440","218,051","230,967","263,554","136,984","135,541","175,800","97,351","37,953","41.5","1,471,193","1,392,811","386,923","311,104","1,471,193","716,511","754,682","311,104","138,189","172,915","","1,855,413","1,819,384","36,029","1,819,384","1,738,148","61,306","2,636","N","N","N","N","12,173","2,546","3,926","2,048","318","1,043","839","1,453","717","N","N","N","N","4,404","36,029","9,746","17,531","2,933","1,976","","1,855,413","1,770,763","75,597","24,492","15,626","1,366","6,059","","1,855,413","23,721","10,164","3,257","707","9,593","1,831,692","1,721,901","60,452","2,016","12,057","445","1,114","33,707","626","33,081","882,800"
"    Percent","","1,855,413","49.1%","50.9%","5.7%","5.7%","5.9%","6.0%","6.9%","11.8%","12.4%","14.2%","7.4%","7.3%","9.5%","5.2%","2.0%","(X)","79.3%","75.1%","20.9%","16.8%","1,471,193","48.7%","51.3%","311,104","44.4%","55.6%","","1,855,413","98.1%","1.9%","98.1%","93.7%","3.3%","0.1%","N","N","N","N","0.7%","0.1%","0.2%","0.1%","0.0%","0.1%","0.0%","0.1%","0.0%","N","N","N","N","0.2%","1.9%","0.5%","0.9%","0.2%","0.1%","","1,855,413","95.4%","4.1%","1.3%","0.8%","0.1%","0.3%","","1,855,413","1.3%","0.5%","0.2%","0.0%","0.5%","98.7%","92.8%","3.3%","0.1%","0.6%","0.0%","0.1%","1.8%","0.0%","1.8%","(X)"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,726,398","2,842,737","2,883,661","351,235","370,241","370,588","391,173","388,991","734,480","698,135","850,977","402,322","344,226","439,635","262,378","122,017","38.8","4,409,648","4,158,604","1,026,794","824,030","4,409,648","2,167,357","2,242,291","824,030","362,535","461,495","","5,726,398","5,612,068","114,330","5,612,068","4,967,566","359,317","52,161","1,815","14,840","261","682","135,815","22,037","20,115","8,135","2,845","10,200","4,499","67,984","1,066","262","265","385","154","96,143","114,330","38,346","27,991","18,383","4,413","","5,726,398","5,071,173","410,255","90,149","158,904","4,298","112,696","","5,726,398","354,399","260,159","52,635","4,424","37,181","5,371,999","4,738,842","352,680","48,138","135,516","829","3,096","92,898","2,943","89,955","2,632,625"
"    Percent","","5,726,398","49.6%","50.4%","6.1%","6.5%","6.5%","6.8%","6.8%","12.8%","12.2%","14.9%","7.0%","6.0%","7.7%","4.6%","2.1%","(X)","77.0%","72.6%","17.9%","14.4%","4,409,648","49.2%","50.8%","824,030","44.0%","56.0%","","5,726,398","98.0%","2.0%","98.0%","86.7%","6.3%","0.9%","0.0%","0.3%","0.0%","0.0%","2.4%","0.4%","0.4%","0.1%","0.0%","0.2%","0.1%","1.2%","0.0%","0.0%","0.0%","0.0%","0.0%","1.7%","2.0%","0.7%","0.5%","0.3%","0.1%","","5,726,398","88.6%","7.2%","1.6%","2.8%","0.1%","2.0%","","5,726,398","6.2%","4.5%","0.9%","0.1%","0.6%","93.8%","82.8%","6.2%","0.8%","2.4%","0.0%","0.1%","1.6%","0.1%","1.6%","(X)"
"Wyoming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","576,412","292,736","283,676","38,016","38,616","38,526","38,799","41,513","80,079","68,921","77,878","42,921","36,093","43,581","22,304","9,165","36.9","439,802","413,389","94,519","75,050","439,802","222,362","217,440","75,050","35,127","39,923","","576,412","558,769","17,643","558,769","523,798","5,720","12,375","135","319","160","976","5,637","867","1,459","568","714","1,152","80","797","78","N","N","N","N","11,161","17,643","4,068","8,318","1,284","458","","576,412","540,418","11,245","22,431","7,201","994","12,968","","576,412","54,316","38,904","565","593","14,254","522,096","487,672","5,311","10,328","5,520","59","151","13,055","322","12,733","265,207"
"    Percent","","576,412","50.8%","49.2%","6.6%","6.7%","6.7%","6.7%","7.2%","13.9%","12.0%","13.5%","7.4%","6.3%","7.6%","3.9%","1.6%","(X)","76.3%","71.7%","16.4%","13.0%","439,802","50.6%","49.4%","75,050","46.8%","53.2%","","576,412","96.9%","3.1%","96.9%","90.9%","1.0%","2.1%","0.0%","0.1%","0.0%","0.2%","1.0%","0.2%","0.3%","0.1%","0.1%","0.2%","0.0%","0.1%","0.0%","N","N","N","N","1.9%","3.1%","0.7%","1.4%","0.2%","0.1%","","576,412","93.8%","2.0%","3.9%","1.2%","0.2%","2.2%","","576,412","9.4%","6.7%","0.1%","0.1%","2.5%","90.6%","84.6%","0.9%","1.8%","1.0%","0.0%","0.0%","2.3%","0.1%","2.2%","(X)"
"Puerto Rico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,667,084","1,757,273","1,909,811","209,354","232,111","247,073","277,622","268,787","456,664","476,239","479,067","216,295","221,838","336,891","173,511","71,632","37.8","2,817,723","2,643,624","717,215","582,034","2,817,723","1,319,819","1,497,904","582,034","252,870","329,164","","3,667,084","3,219,780","447,304","3,219,780","2,536,665","304,289","13,043","N","N","N","N","13,723","N","N","N","N","N","N","N","120","N","N","N","N","351,940","447,304","416,354","1,847","323","2,018","","3,667,084","2,974,673","734,636","24,043","16,646","347","372,793","","3,667,084","3,631,408","11,617","3,515,844","15,686","88,261","35,676","23,542","2,571","108","2,677","98","1,365","5,315","33","5,282","1,583,437"
"    Percent","","3,667,084","47.9%","52.1%","5.7%","6.3%","6.7%","7.6%","7.3%","12.5%","13.0%","13.1%","5.9%","6.0%","9.2%","4.7%","2.0%","(X)","76.8%","72.1%","19.6%","15.9%","2,817,723","46.8%","53.2%","582,034","43.4%","56.6%","","3,667,084","87.8%","12.2%","87.8%","69.2%","8.3%","0.4%","N","N","N","N","0.4%","N","N","N","N","N","N","N","0.0%","N","N","N","N","9.6%","12.2%","11.4%","0.1%","0.0%","0.1%","","3,667,084","81.1%","20.0%","0.7%","0.5%","0.0%","10.2%","","3,667,084","99.0%","0.3%","95.9%","0.4%","2.4%","1.0%","0.6%","0.1%","0.0%","0.1%","0.0%","0.0%","0.1%","0.0%","0.1%","(X)"
